Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
A Ridwan,10001,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Senior,Exceed,EWD,Evaluate,10/7/1983,Sunda,7/5/2011,,N/A-StillEmployed,Active,LinkedIn,4.6,5,5,0,1/17/2020,0,1
Ade Setyanto,10002,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Senior,Fully meets,EWD,Pay,5/5/1975,Sunda,3/30/2015,6/16/2018,career change,Voluntarily Terminated,Indeed,4.96,5,3,6,2/24/2017,0,17
Adhitya Bramantya Ranggatyasta,10003,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Product Owner,Senior,Average,ENT,HunianAja,09/19/88,Jawa,7/5/2011,9/24/2014,hours,Voluntarily Terminated,LinkedIn,3.02,3,3,0,5/15/2013,0,3
Adji Wijaya Kusuma,10004,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Middle,Exceed,ENT,Intermoda,09/27/88,Cina,1/7/2008,,N/A-StillEmployed,Active,Indeed,4.84,5,5,0,1/3/2020,0,15
Agus Andri Putra,10005,Belum Menikah,Single,P,Prohire,Business Analyst,Middle,Average,EDU,Squad Pijar Sekolah,8/9/1989,Bali,7/11/2011,9/6/2018,return to school,Voluntarily Terminated,Google Search,5,5,4,0,2/1/2017,0,2
Ahmad Dwi Nugroho,10006,Menikah,Married,P,TKP/ Outsource,Product Owner,Senior,Exceed,COM,ChatAja,05/22/77,Bali,1/9/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,1/7/2020,0,15
Ahmad Faiz,10007,Menikah,Married,P,TKP/ Outsource,Business Analyst,Junior,Average,COM,Vutura,05/24/79,Padang,11/10/2014,,N/A-StillEmployed,Active,LinkedIn,3.04,3,3,4,1/2/2020,0,19
Ahmad Hari Ramadhan,10008,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Business Analyst,Junior,Exceed,ENT,Intermoda,02/18/83,Jawa,9/30/2013,,N/A-StillEmployed,Active,Employee Referral,5,5,4,0,2/25/2020,0,19
Ahmad Iswandi,10009,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Middle,Exceed,EWD,Sales Cycle  ,11/2/1970,Sunda,7/6/2009,,N/A-StillEmployed,Active,Diversity Job Fair,4.46,4,3,0,1/25/2020,0,4
Ahmad Khaerul,10010,Menikah,Widowed,L,TKP/ Outsource,Product Owner,Middle,Need improvement,EWD,Activate & Install,7/1/1988,Cina,1/5/2015,,N/A-StillEmployed,Active,Indeed,5,5,5,6,2/18/2020,0,16
